Sepal_Length,Sepal_Width,Petal_Length,Petal_Width
5.099999905,3.5,1.399999976,0.200000003
4.900000095,3,1.399999976,0.200000003
4.699999809,3.200000048,1.299999952,0.200000003
4.599999905,3.099999905,1.5,0.200000003
5,3.599999905,1.399999976,0.200000003
5.400000095,3.900000095,1.700000048,0.400000006
4.599999905,3.400000095,1.399999976,0.300000012
5,3.400000095,1.5,0.200000003
4.400000095,2.900000095,1.399999976,0.200000003
4.900000095,3.099999905,1.5,0.100000001
5.400000095,3.700000048,1.5,0.200000003
4.800000191,3.400000095,1.600000024,0.200000003
4.800000191,3,1.399999976,0.100000001
4.300000191,3,1.100000024,0.100000001
5.800000191,4,1.200000048,0.200000003
5.699999809,4.400000095,1.5,0.400000006
5.400000095,3.900000095,1.299999952,0.400000006
5.099999905,3.5,1.399999976,0.300000012
5.699999809,3.799999952,1.700000048,0.300000012
5.099999905,3.799999952,1.5,0.300000012
5.400000095,3.400000095,1.700000048,0.200000003
5.099999905,3.700000048,1.5,0.400000006
4.599999905,3.599999905,1,0.200000003
5.099999905,3.299999952,1.700000048,0.5
4.800000191,3.400000095,1.899999976,0.200000003
5,3,1.600000024,0.200000003
5,3.400000095,1.600000024,0.400000006
5.199999809,3.5,1.5,0.200000003
5.199999809,3.400000095,1.399999976,0.200000003
4.699999809,3.200000048,1.600000024,0.200000003
4.800000191,3.099999905,1.600000024,0.200000003
5.400000095,3.400000095,1.5,0.400000006
5.199999809,4.099999905,1.5,0.100000001
5.5,4.199999809,1.399999976,0.200000003
4.900000095,3.099999905,1.5,0.100000001
5,3.200000048,1.200000048,0.200000003
5.5,3.5,1.299999952,0.200000003
4.900000095,3.099999905,1.5,0.100000001
4.400000095,3,1.299999952,0.200000003
5.099999905,3.400000095,1.5,0.200000003
5,3.5,1.299999952,0.300000012
4.5,2.299999952,1.299999952,0.300000012
4.400000095,3.200000048,1.299999952,0.200000003
5,3.5,1.600000024,0.600000024
5.099999905,3.799999952,1.899999976,0.400000006
4.800000191,3,1.399999976,0.300000012
5.099999905,3.799999952,1.600000024,0.200000003
4.599999905,3.200000048,1.399999976,0.200000003
5.300000191,3.700000048,1.5,0.200000003
5,3.299999952,1.399999976,0.200000003
7,3.200000048,4.699999809,1.399999976
6.400000095,3.200000048,4.5,1.5
6.900000095,3.099999905,4.900000095,1.5
5.5,2.299999952,4,1.299999952
6.5,2.799999952,4.599999905,1.5
5.699999809,2.799999952,4.5,1.299999952
6.300000191,3.299999952,4.699999809,1.600000024
4.900000095,2.400000095,3.299999952,1
6.599999905,2.900000095,4.599999905,1.299999952
5.199999809,2.700000048,3.900000095,1.399999976
5,2,3.5,1
5.900000095,3,4.199999809,1.5
6,2.200000048,4,1
6.099999905,2.900000095,4.699999809,1.399999976
5.599999905,2.900000095,3.599999905,1.299999952
6.699999809,3.099999905,4.400000095,1.399999976
5.599999905,3,4.5,1.5
5.800000191,2.700000048,4.099999905,1
6.199999809,2.200000048,4.5,1.5
5.599999905,2.5,3.900000095,1.100000024
5.900000095,3.200000048,4.800000191,1.799999952
6.099999905,2.799999952,4,1.299999952
